,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,date,favourites_count,followers_count,language,location,retweet_count,screen_name,tweet,tweet_id,verified,hashtags,clean_tweet,processed_tweet
0,0,0,0,2020-10-03 04:00:00,428.0,21056.0,en,"Jackson, MS",1.0,Fox40News,The University of Notre Dame’s president announced Friday that he tested positive for the coronavirus less than a week after he attended a White House event without wearing a mask.,1.3122409644472033e+18,1.0,[],The University of Notre Dames president announced Friday that he tested positive for the coronavirus less than a week after he attended a White House event without wearing a mask.,"['the', 'univers', 'notr', 'dame', 'presid', 'announc', 'friday', 'test', 'posit', 'coronaviru', 'less', 'week', 'attend', 'white', 'hous', 'event', 'without', 'wear', 'mask']"
1,1,1,1,2020-10-03 04:00:19,124175.0,165.0,en,"California, USA",1690.0,MendiolaGrandma,RT @ASlavitt: COVID Update October 2: Half the states or more are quickly growing cases and people who wear masks aren’t getting as sick.…,1.312241043992007e+18,0.0,[],: COVID Update October : Half the states or more are quickly growing cases and people who wear masks arent getting as sick.,"[':', 'covid', 'updat', 'octob', ':', 'half', 'state', 'quickli', 'grow', 'case', 'peopl', 'wear', 'mask', 'arent', 'get', 'sick']"
2,2,2,2,2020-10-03 04:00:17,2485.0,40.0,en,"Lakeview, Chicago, IL",0.0,PancakesNow,"@TipaOdiosa @CNN Right, how on earth could the people who call Covid a hoax and hold indoor rallies and don’t social distance or wear masks EVER get Covid? Preposterous!",1.3122410324158054e+18,0.0,[],"Right, how on earth could the people who call Covid a hoax and hold indoor rallies and dont social distance or wear masks EVER get Covid? Preposterous!","['right', 'earth', 'could', 'peopl', 'call', 'covid', 'hoax', 'hold', 'indoor', 'ralli', 'dont', 'social', 'distanc', 'wear', 'mask', 'ever', 'get', 'covid', 'preposter', '!']"
3,3,3,3,2020-10-03 04:00:18,30835.0,115.0,en,"Whitefish, MT",0.0,Mountaintrader2,@pietro_BOS @Amanda_Bril @OANN Pandemics are easily avoided? Well then shame on everyone who caught covid. They should have just wore a mask and social distanced. It's that simple apparently.,1.3122410398815642e+18,0.0,[],Pandemics are easily avoided? Well then shame on everyone who caught covid. They should have just wore a mask and social distanced. It's that simple apparently.,"['pandem', 'easili', 'avoid', 'well', 'shame', 'everyon', 'caught', 'covid', 'they', 'wore', 'mask', 'social', 'distanc', 'It', ""'s"", 'simpl', 'appar']"
4,4,4,4,2020-10-03 04:00:29,120541.0,15959.0,en,Paradise,3339.0,USADanaK,"RT @seanmdav: Virginia’s blackface governor locked down schools, shut down the economy, and wore a mask everywhere, and he got coronavirus,…",1.3122410857926203e+18,0.0,[],": Virginias blackface governor locked down schools, shut down the economy, and wore a mask everywhere, and he got coronavirus,","[':', 'virginia', 'blackfac', 'governor', 'lock', 'school', 'shut', 'economi', 'wore', 'mask', 'everywher', 'got', 'coronaviru']"
5,5,5,5,2020-10-03 04:00:34,2371.0,537.0,en,"Oro Valley, Arizona",366.0,RichardDThaler,"RT @HeathMayo: We’ve failed on COVID &amp; the reasons are clear. The GOP’s blatant refusal to heed science, its casual politicization of mask-…",1.3122411067136369e+18,0.0,[],": Weve failed on COVID &amp; the reasons are clear. The GOPs blatant refusal to heed science, its casual politicization of mask-","[':', 'weve', 'fail', 'covid', '&', 'amp', 'reason', 'clear', 'the', 'gop', 'blatant', 'refus', 'heed', 'scienc', 'casual', 'politic', 'mask-']"
6,6,6,6,2020-10-03 04:00:35,130397.0,2182.0,en,"SE WI, no longer Dallas, TX",3452.0,Dallas4Bernie,"RT @Booker4KY: Trump knew COVID was deadly, yet he actively downplayed it, called it a hoax, made wearing masks a partisan issue, and ignor…",1.3122411117847142e+18,0.0,[],": Trump knew COVID was deadly, yet he actively downplayed it, called it a hoax, made wearing masks a partisan issue, and ignor","[':', 'trump', 'knew', 'covid', 'deadli', 'yet', 'activ', 'downplay', 'call', 'hoax', 'made', 'wear', 'mask', 'partisan', 'issu', 'ignor']"
7,7,7,7,2020-10-03 04:00:42,6653.0,124.0,en,Texas,0.0,DevinMcloud,"@SharylAttkisson @mimi_wells Watch this. It's a long-form discussion with UCSF medicine professor Dr. Monica Gandhi - infectious disease doctor. You can get a full understanding of how &amp; why masks work (yes, with COVID):",1.312241141065175e+18,0.0,[],"Watch this. It's a long-form discussion with UCSF medicine professor Dr. Monica Gandhi - infectious disease doctor. You can get a full understanding of how &amp; why masks work (yes, with COVID):","['watch', 'It', ""'s"", 'long-form', 'discuss', 'ucsf', 'medicin', 'professor', 'dr.', 'monica', 'gandhi', '-', 'infecti', 'diseas', 'doctor', 'you', 'get', 'full', 'understand', '&', 'amp', 'mask', 'work', 'ye', 'covid', ':']"
8,8,8,8,2020-10-03 04:00:58,13734.0,200.0,en,"Austin, TX",75420.0,luvslakes,RT @notThreat3x: Trump getting COVID right after making fun of Biden for wearing masks is so 2020,1.3122412082243502e+18,0.0,[],: Trump getting COVID right after making fun of Biden for wearing masks is so,"[':', 'trump', 'get', 'covid', 'right', 'make', 'fun', 'biden', 'wear', 'mask']"
9,9,9,9,2020-10-03 04:01:00,38858.0,1001.0,en,Chicago Illinois,46.0,JayAGM,RT @BlockClubCHI: More than 900 Chicago Police officers have tested positive for coronavirus. But many officers still won't wear masks — de…,1.3122412162773156e+18,0.0,[],: More than Chicago Police officers have tested positive for coronavirus. But many officers still won't wear masks de,"[':', 'more', 'chicago', 'polic', 'offic', 'test', 'posit', 'coronaviru', 'but', 'mani', 'offic', 'still', 'wo', ""n't"", 'wear', 'mask', 'de']"
10,10,10,10,2020-10-03 04:00:58,107295.0,3230.0,en,"Florida, USA",3900.0,miss_scarlett80,"RT @DiamondandSilk: Don Lemon is ignorant. If masks worked then why did Thom Tillis test positive for COVID, and he was wearing a mask?",1.312241207725097e+18,0.0,[],": Don Lemon is ignorant. If masks worked then why did Thom Tillis test positive for COVID, and he was wearing a mask?","[':', 'don', 'lemon', 'ignor', 'If', 'mask', 'work', 'thom', 'tilli', 'test', 'posit', 'covid', 'wear', 'mask']"
11,11,11,11,2020-10-03 04:01:08,11118.0,793.0,en,"California, USA",0.0,bg96bg,To all those anti maskers who thought Covid was a hoax 🖕,1.3122412492151112e+18,0.0,[],To all those anti maskers who thought Covid was a hoax,"['To', 'anti', 'masker', 'thought', 'covid', 'hoax']"
12,12,12,12,2020-10-03 04:01:23,977.0,318.0,en,"California, USA",2933.0,theDJPHG,RT @DepressedDarth: BREAKING NEWS: I don’t have COVID.. because I wear a mask,1.3122413127042867e+18,0.0,[],: BREAKING NEWS: I dont have COVID.. because I wear a mask,"[':', 'break', 'new', ':', 'dont', 'covid', '..', 'wear', 'mask']"
13,13,13,13,2020-10-03 04:01:26,15566.0,672.0,en,Alabama,1.0,Dr_SD_Newman,Do we know how all those black and brown people who work in the WH are doing? They in a covid infected space with people who refuse to wear masks. I’m praying for them and hoping they are all safe and protected.,1.312241325694161e+18,0.0,[],Do we know how all those black and brown people who work in the WH are doing? They in a covid infected space with people who refuse to wear masks. Im praying for them and hoping they are all safe and protected.,"['Do', 'know', 'black', 'brown', 'peopl', 'work', 'WH', 'they', 'covid', 'infect', 'space', 'peopl', 'refus', 'wear', 'mask', 'Im', 'pray', 'hope', 'safe', 'protect']"
14,14,14,14,2020-10-03 04:01:32,2355.0,72.0,en,United States,0.0,IamBlueAlly,"@realDonaldTrump Because I care about my fellow human beings, I hope you &amp; Melania get well soon. I can't imagine how many people you may have affected in the past 24 hours though. I hope moving forward you are going to tell everyone to wear a mask &amp; that covid is a very real virus &amp; not a hoax!",1.312241349962412e+18,0.0,[],"Because I care about my fellow human beings, I hope you &amp; Melania get well soon. I can't imagine how many people you may have affected in the past hours though. I hope moving forward you are going to tell everyone to wear a mask &amp; that covid is a very real virus &amp; not a hoax!","['becaus', 'care', 'fellow', 'human', 'be', 'hope', '&', 'amp', 'melania', 'get', 'well', 'soon', 'ca', ""n't"", 'imagin', 'mani', 'peopl', 'may', 'affect', 'past', 'hour', 'though', 'hope', 'move', 'forward', 'go', 'tell', 'everyon', 'wear', 'mask', '&', 'amp', 'covid', 'real', 'viru', '&', 'amp', 'hoax', '!']"
15,15,15,15,2020-10-03 04:01:36,56284.0,1240.0,en,Tacoma Washington,103.0,bettyregarde286,"RT @SharylAttkisson: 3-I don't think any scientists claim masks are always effective at preventing coronavirus, and they differ on how effe…",1.3122413674986824e+18,0.0,[],": -I don't think any scientists claim masks are always effective at preventing coronavirus, and they differ on how effe","[':', '-I', ""n't"", 'think', 'scientist', 'claim', 'mask', 'alway', 'effect', 'prevent', 'coronaviru', 'differ', 'eff']"
16,16,16,16,2020-10-03 04:01:43,8906.0,325.0,en,"Hillsborough, NC",200.0,Bales4Judge,RT @CAFinUS: Coronavirus doesn’t take sides. Wear a mask. Wash your hands. Keep your distance. We’ll get through. Together-ish.,1.31224139671219e+18,0.0,[],: Coronavirus doesnt take sides. Wear a mask. Wash your hands. Keep your distance. Well get through. Together-ish.,"[':', 'coronaviru', 'doesnt', 'take', 'side', 'wear', 'mask', 'wash', 'hand', 'keep', 'distanc', 'well', 'get', 'together-ish']"
17,17,17,17,2020-10-03 04:01:46,13072.0,320.0,en,USA,0.0,cjanerosse,"This is horrifying. The leader of the free world has been infected with this dreadful virus. Why didn't someone tell #Trump and his people that they should wear masks, keep a safe distance from others, and stay away from large gatherings? #coronavirus #Covid @JuddApatow",1.312241405713146e+18,0.0,"['Trump', 'coronavirus', 'Covid']","This is horrifying. The leader of the free world has been infected with this dreadful virus. Why didn't someone tell and his people that they should wear masks, keep a safe distance from others, and stay away from large gatherings?","['thi', 'horrifi', 'the', 'leader', 'free', 'world', 'infect', 'dread', 'viru', 'whi', ""n't"", 'someon', 'tell', 'peopl', 'wear', 'mask', 'keep', 'safe', 'distanc', 'other', 'stay', 'away', 'larg', 'gather']"
18,18,18,18,2020-10-03 04:01:56,5676.0,2446.0,en,"New Orleans, LA",0.0,JacquiGautreaux,"@charliekirk11 Never forget that tRUMP called covid a hoax and did nothing for 3 months, continued to hold super spreader rallies, refusing to wear a mask and mocking those who !did, showing zero compassion for over 200,000 dead! Go straight to hell you pathetic asshole!!",1.3122414510325473e+18,0.0,[],"Never forget that tRUMP called covid a hoax and did nothing for months, continued to hold super spreader rallies, refusing to wear a mask and mocking those who !did, showing zero compassion for over dead! Go straight to hell you pathetic asshole!!","['never', 'forget', 'trump', 'call', 'covid', 'hoax', 'noth', 'month', 'continu', 'hold', 'super', 'spreader', 'ralli', 'refus', 'wear', 'mask', 'mock', '!', 'show', 'zero', 'compass', 'dead', '!', 'Go', 'straight', 'hell', 'pathet', 'asshol', '!', '!']"
19,19,19,19,2020-10-03 04:01:52,529595.0,1465.0,en,So Cal,405.0,SplendentSweven,"RT @AnaCabrera: Zoom in on pic— The VP is sitting directly in front of Sen Lee, who is now COVID positive, neither men wearing masks. And y…",1.31224143406225e+18,0.0,[],": Zoom in on pic The VP is sitting directly in front of Sen Lee, who is now COVID positive, neither men wearing masks. And y","[':', 'zoom', 'pic', 'the', 'VP', 'sit', 'directli', 'front', 'sen', 'lee', 'covid', 'posit', 'neither', 'men', 'wear', 'mask', 'and']"
20,20,20,20,2020-10-03 04:01:55,159307.0,1530.0,en,BROOKLYN,323.0,xobrooklynhomie,RT @Mikel_Jollett: Notice how everyone in the White House has covid now? That’s because Trump didn’t wear a mask. The mask mostly protect…,1.312241447320662e+18,0.0,[],: Notice how everyone in the White House has covid now? Thats because Trump didnt wear a mask. The mask mostly protect,"[':', 'notic', 'everyon', 'white', 'hous', 'covid', 'that', 'trump', 'didnt', 'wear', 'mask', 'the', 'mask', 'mostli', 'protect']"
21,21,21,21,2020-10-03 04:02:05,1122.0,113.0,en,"Buffalo Grove, IL",0.0,daverite,@gtconway3d I really respect you George and believe in what you’re doing but this picture cuts out your wife sitting in the 2nd row without a mask and now she has Covid. I don’t get it,1.312241486017319e+18,0.0,[],I really respect you George and believe in what youre doing but this picture cuts out your wife sitting in the nd row without a mask and now she has Covid. I dont get it,"['realli', 'respect', 'georg', 'believ', 'your', 'pictur', 'cut', 'wife', 'sit', 'nd', 'row', 'without', 'mask', 'covid', 'dont', 'get']"
22,22,22,22,2020-10-03 04:02:08,10382.0,3095.0,en,South Florida,0.0,bocaboy1970,I am not a @realDonaldTrump supporter but I do wish no harm to anyone especially with this virus. I wish him a speedy recovery. He could have worn a mask which may have prevented the infection..you never know. #COVID19,1.3122415012090593e+18,0.0,['COVID19'],I am not a supporter but I do wish no harm to anyone especially with this virus. I wish him a speedy recovery. He could have worn a mask which may have prevented the infection..you never know.,"['support', 'wish', 'harm', 'anyon', 'especi', 'viru', 'wish', 'speedi', 'recoveri', 'He', 'could', 'worn', 'mask', 'may', 'prevent', 'infect', '..', 'never', 'know']"
23,23,23,23,2020-10-03 04:02:08,361.0,144.0,en,"San Francisco, CA",0.0,AmySwai16169847,"@dailyshitnews President trump and the first lady tested positive #covid-19 As ordinary citizens, they should protect themselves Doctors recommend a professional mask buying channel, hoping that the virus will be defeated. Comfortable to wear, FDA approved! Google searches ""ushoparea""",1.3122415004790907e+18,0.0,['covid'],"President trump and the first lady tested positive As ordinary citizens, they should protect themselves Doctors recommend a professional mask buying channel, hoping that the virus will be defeated. Comfortable to wear, FDA approved! Google searches ""ushoparea""","['presid', 'trump', 'first', 'ladi', 'test', 'posit', 'As', 'ordinari', 'citizen', 'protect', 'doctor', 'recommend', 'profession', 'mask', 'buy', 'channel', 'hope', 'viru', 'defeat', 'comfort', 'wear', 'fda', 'approv', '!', 'googl', 'search', '``', 'ushoparea', ""''""]"
24,24,24,24,2020-10-03 04:02:20,112041.0,18556.0,en,"Athens, GA",0.0,AuthorJCHowell,"@DennisGLynch1 @LizRNC Typical Regional Medical Center. 350 COVID cases, 35 deaths, and 150 staff testing positive despite mandatory masks and PPE. Multiply that x 6000 hospitals.",1.312241548294271e+18,0.0,[],"Typical Regional Medical Center. COVID cases, deaths, and staff testing positive despite mandatory masks and PPE. Multiply that x hospitals.","['typic', 'region', 'medic', 'center', 'covid', 'case', 'death', 'staff', 'test', 'posit', 'despit', 'mandatori', 'mask', 'ppe', 'multipli', 'x', 'hospit']"
25,25,25,25,2020-10-03 04:02:15,7289.0,22.0,en,"Minnesota, USA",0.0,Jmalowitz2,@McFaul @Kathy_in_KY What absolute garbage. This does nothing to support mask efficacy. Zero. People who are wearing masks virtually every second are still contracting Covid. Explain?,1.3122415272892457e+18,0.0,[],What absolute garbage. This does nothing to support mask efficacy. Zero. People who are wearing masks virtually every second are still contracting Covid. Explain?,"['what', 'absolut', 'garbag', 'thi', 'noth', 'support', 'mask', 'efficaci', 'zero', 'peopl', 'wear', 'mask', 'virtual', 'everi', 'second', 'still', 'contract', 'covid', 'explain']"
26,26,26,26,2020-10-03 04:02:26,13024.0,101.0,en,"New York, NY",0.0,bangaaa_r,"@LabyrinthWeaver look at these 2 clowns .. didn’t wear mask together, whisper to each other .. tested positive for Covid together !!",1.312241576870138e+18,0.0,[],"look at these clowns .. didnt wear mask together, whisper to each other .. tested positive for Covid together !!","['look', 'clown', '..', 'didnt', 'wear', 'mask', 'togeth', 'whisper', '..', 'test', 'posit', 'covid', 'togeth', '!', '!']"
