,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,date,favourites_count,followers_count,language,location,retweet_count,screen_name,tweet,tweet_id,verified,hashtags,clean_tweet,processed_tweet
0,0,0,0,2020-09-05 04:00:01,2569.0,1630.0,en,United States,11838.0,CristyKessler,"RT @KamalaHarris: As we head into Labor Day weekend, please wear a mask, practice social distancing, and wash your hands. Coronavirus case…",1.3020941087233065e+18,0.0,[],": As we head into Labor Day weekend, please wear a mask, practice social distancing, and wash your hands. Coronavirus case","[':', 'As', 'head', 'labor', 'day', 'weekend', 'pleas', 'wear', 'mask', 'practic', 'social', 'distanc', 'wash', 'hand', 'coronaviru', 'case']"
1,1,1,1,2020-09-05 04:00:20,7297.0,156.0,en,"Chicago, IL",2.0,KirbyCallan,RT @KirbyCallan: yeah no totally... just wear a mask unless you're with your friends cuz y'know covid only spreads around strangers,1.3020941884781115e+18,0.0,[],: yeah no totally... just wear a mask unless you're with your friends cuz y'know covid only spreads around strangers,"[':', 'yeah', 'total', '...', 'wear', 'mask', 'unless', ""'re"", 'friend', 'cuz', ""y'know"", 'covid', 'spread', 'around', 'stranger']"
2,2,2,2,2020-09-05 04:01:06,13965.0,382.0,en,"Minnesota, USA",0.0,jamesan78324109,@ASlavitt Um and you must know “Classic COVID symptoms “ are@the same as a cold. We got the list at school also. Why would teachers be afraid? They wear masks and everyone says masks work. So no problem ?,1.3020943791847752e+18,0.0,[],Um and you must know Classic COVID symptoms are same as a cold. We got the list at school also. Why would teachers be afraid? They wear masks and everyone says masks work. So no problem ?,"['Um', 'must', 'know', 'classic', 'covid', 'symptom', 'cold', 'We', 'got', 'list', 'school', 'also', 'whi', 'would', 'teacher', 'afraid', 'they', 'wear', 'mask', 'everyon', 'say', 'mask', 'work', 'So', 'problem']"
3,3,3,3,2020-09-05 04:01:09,810.0,28.0,en,United States,2830.0,JadedAkAEcho,"RT @NYGovCuomo: As Labor Day weekend approaches, remember COVID won’t take a holiday. Wear a mask. Be smart. Plan well. Let's look out fo…",1.3020943926484378e+18,0.0,[],": As Labor Day weekend approaches, remember COVID wont take a holiday. Wear a mask. Be smart. Plan well. Let's look out fo","[':', 'As', 'labor', 'day', 'weekend', 'approach', 'rememb', 'covid', 'wont', 'take', 'holiday', 'wear', 'mask', 'Be', 'smart', 'plan', 'well', 'let', ""'s"", 'look', 'fo']"
4,4,4,4,2020-09-05 04:01:31,35568.0,448.0,en,"Estero, FL",0.0,AutothrottleOff,@MayorOfLA Why are there no biohazard drop boxes for all the used masks? 😂 Because #covid is a huge fraud.,1.3020944837823365e+18,0.0,['covid'],Why are there no biohazard drop boxes for all the used masks? Because is a huge fraud.,"['whi', 'biohazard', 'drop', 'box', 'use', 'mask', 'becaus', 'huge', 'fraud']"
5,5,5,5,2020-09-05 04:01:46,21519.0,23249.0,en,"Colorado, USA",997.0,ashleykingsley,RT @EMichaelJones1: .@RealJohnWaters explains why masks are mandatory now that the #COVID19 Pandemic is over.,1.302094548001157e+18,0.0,['COVID19'],: . explains why masks are mandatory now that the Pandemic is over.,"[':', 'explain', 'mask', 'mandatori', 'pandem']"
6,6,6,6,2020-09-05 04:02:26,3124.0,202.0,en,"Maryland, USA",562.0,PrincessHabibi0,RT @PeteFestersen: Omaha the only major US city without a mask requirement. Risk of COVID spread now orange and school is starting. Importa…,1.302094716780122e+18,0.0,[],: Omaha the only major US city without a mask requirement. Risk of COVID spread now orange and school is starting. Importa,"[':', 'omaha', 'major', 'US', 'citi', 'without', 'mask', 'requir', 'risk', 'covid', 'spread', 'orang', 'school', 'start', 'importa']"
7,7,7,7,2020-09-05 04:02:03,38468.0,8457.0,en,"Florida, USA",23.0,ChristineHough6,"RT @KarlHun27985381: Patriots, - Healthy people don't need to wear masks. - We do NOT need a vaccine for the Wuhan virus bc it's not that…",1.3020946200467866e+18,0.0,[],": Patriots, - Healthy people don't need to wear masks. - We do NOT need a vaccine for the Wuhan virus bc it's not that","[':', 'patriot', '-', 'healthi', 'peopl', ""n't"", 'need', 'wear', 'mask', '-', 'We', 'not', 'need', 'vaccin', 'wuhan', 'viru', 'bc', ""'s""]"
8,8,8,8,2020-09-05 04:02:46,508.0,26.0,en,New Zealand,131.0,MichaelHowardMD,"RT @SiouxsieW: Looking for a set of #COVID19 explainers? The boxset of graphics by @XTOTL &amp; me just got bigger! Updated to include masks, g…",1.302094801060475e+18,0.0,['COVID19'],": Looking for a set of explainers? The boxset of graphics by &amp; me just got bigger! Updated to include masks, g","[':', 'look', 'set', 'explain', 'the', 'boxset', 'graphic', '&', 'amp', 'got', 'bigger', '!', 'updat', 'includ', 'mask', 'g']"
9,9,9,9,2020-09-05 04:03:21,30815.0,384.0,en,Kentucky,0.0,WhitneyEK,"If there was a venn diagram of people who say: “The number of cases of covid isn’t decreasing. Masks obviously don’t work.” and the people who say: “I don’t wear a mask. It’s just the government trying to control us.”, it would just be one big ole circle.",1.302094947575894e+18,0.0,[],"If there was a venn diagram of people who say: The number of cases of covid isnt decreasing. Masks obviously dont work. and the people who say: I dont wear a mask. Its just the government trying to control us., it would just be one big ole circle.","['If', 'venn', 'diagram', 'peopl', 'say', ':', 'the', 'number', 'case', 'covid', 'isnt', 'decreas', 'mask', 'obvious', 'dont', 'work', 'peopl', 'say', ':', 'dont', 'wear', 'mask', 'it', 'govern', 'tri', 'control', 'us.', 'would', 'one', 'big', 'ole', 'circl']"
